# BEAST v10.5.0
# Generated Sat Feb 28 11:54:06 GMT 2026 [seed=1772279634185]
# -window -working -options
state	joint	prior	likelihood	rootHeight	treeLength	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
1220000	-499.95706027455805	-2.791156857964202	-497.16590341659384	0.4460421179741688	1.498067592608815	0.8566327462193308	0.4711966607785909	1.0	1.0	-497.16590341659384	0.0	-1.3251795823598884
1230000	-500.87783916027183	-3.951919317128967	-496.9259198431429	0.37602126825246257	1.417879369014403	2.8338231296792693	0.3309967859194757	1.0	1.0	-496.9259198431429	0.0	-1.5855038833889628
1240000	-504.6139038768824	-4.528545180542599	-500.08535869633977	0.4642834869372658	1.7475658187691956	2.878693577721872	0.12937332372164526	1.0	1.0	-500.08535869633977	0.0	-2.146074415170661
1250000	-499.2722019295086	-2.9999061037834815	-496.2722958257251	0.35026316463883833	1.391593083827743	0.786817761661056	0.18268134567095137	1.0	1.0	-496.2722958257251	0.0	-1.5737052070104636
1260000	-498.2102470401874	-2.395757628445212	-495.8144894117422	0.3115275111413184	1.228270724337856	1.5040259010709176	0.11135361404086143	1.0	1.0	-495.8144894117422	0.0	-0.5853659153849866
1270000	-503.5527301930282	-3.7077206520664583	-499.8450095409617	0.4600513927016633	1.7234624005087884	2.293502000248476	0.05796506674791417	1.0	1.0	-499.8450095409617	0.0	-1.5468209173521141
1280000	-508.5190227708328	-3.4335336796472093	-505.0854890911856	0.5184803059995072	1.9061424194178396	0.828171740257806	0.43961632286450053	1.0	1.0	-505.0854890911856	0.0	-1.9837503675106904
1290000	-499.48848680558694	-3.1234359228371043	-496.3650508827498	0.32148617535752094	1.1244698016073154	1.7558231748452058	0.7126992742353286	1.0	1.0	-496.3650508827498	0.0	-1.1936448505732067
1300000	-501.18232251634066	-4.733055560302914	-496.4492669560378	0.344677483270618	1.2493743860899145	4.121257764220668	0.36668590435568255	1.0	1.0	-496.4492669560378	0.0	-1.9540073388957047
1310000	-498.6386751926659	-2.4051307275915565	-496.2335444650744	0.3041140040529484	1.2003479646351676	1.7677744850647161	0.287166469599813	1.0	1.0	-496.2335444650744	0.0	-0.4698635346582612
1320000	-502.77902704583033	-6.63039989810038	-496.14862714772994	0.3713481742630758	1.3300305332572797	4.663879462296723	0.5267138967637081	1.0	1.0	-496.14862714772994	0.0	-3.7013852221231716
1330000	-501.7469150142429	-3.262142309774738	-498.4847727044682	0.3374947046728389	1.2078883507320737	0.623987555409151	0.1283143512954951	1.0	1.0	-498.4847727044682	0.0	-1.9281013645046674
1340000	-499.38629491555	-3.119177926736155	-496.2671169888139	0.35976408850183017	1.3856705114265266	1.575223113879695	0.53564248335055	1.0	1.0	-496.2671169888139	0.0	-1.2742256482644096
1350000	-503.76436507008987	-2.602200866488738	-501.16216420360115	0.3429471170976937	1.0987244571212371	2.7684049042309558	0.27528340826120035	1.0	1.0	-501.16216420360115	0.0	-0.25945173087097767
