# BEAST v10.5.0
# Generated Thu Feb 12 23:51:34 GMT 2026 [seed=1770940276861]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
102000	-467.1956592119216	-39.8236141230341	-427.37204508888755	3187.9100740336335	-3187.9100740336335	7458.461346311038	1128.9867223829642	8.514034780334389E-4	8.514034780334389E-4	-427.37204508888755	0.0	-25.828833577092155
103000	-460.05842585325	-35.48778453015821	-424.5706413230918	2052.692510349258	-2052.692510349258	4654.806090894937	512.3946627574729	8.839354674669573E-4	8.839354674669573E-4	-424.5706413230918	0.0	-24.87992504294356
104000	-455.46977683293886	-31.402405546065616	-424.06737128687325	679.8743559513309	-679.8743559513309	1649.9970002791906	351.9753739583618	0.0020233168420867743	0.0020233168420867747	-424.06737128687325	0.0	-21.173587147913562
105000	-449.21478251028304	-25.18072993486573	-424.0340525754173	64.10506114353628	-64.10506114353628	153.6211460562422	60.725023063671124	0.024079710609616806	0.02407971060961681	-424.0340525754173	0.0	-14.21258866753545
106000	-445.02797222826933	-21.602976419188685	-423.42499580908066	40.90070306132992	-40.90070306132992	91.02756080098823	20.08473668204199	0.03395181145173126	0.03395181145173126	-423.42499580908066	0.0	-11.955917018610789
107000	-445.97668457089026	-18.860617918931403	-427.1160666519589	4.85186698888381	-4.85186698888381	13.45330982856684	5.794001770852186	0.30503118793087675	0.3050311879308767	-427.1160666519589	0.0	-7.402910079103134
108000	-436.7283235708957	-11.694743467958855	-425.03358010293687	0.6627164386454079	-0.6627164386454079	1.6380542439496493	1.2663247725712237	1.4150302361962235	1.4150302361962237	-425.03358010293687	0.0	-1.7264256703190304
109000	-430.5453420841881	-6.950088580100759	-423.59525350408734	0.20424031714571522	-0.20424031714571522	0.47018529401049036	0.14743944930101607	7.467866246545602	7.467866246545602	-423.59525350408734	0.0	3.5179868340217864
110000	-429.6067929710132	-6.378481522578824	-423.2283114484344	0.2036343758641013	-0.2036343758641013	0.4827923215153035	0.08097917787250655	6.721911987373015	6.721911987373014	-423.2283114484344	0.0	3.159059541099122
111000	-429.8998574050902	-6.654496322878002	-423.2453610822122	0.1732123389821897	-0.1732123389821897	0.37261136891371294	0.04364543403554323	12.75605094915681	12.756050949156808	-423.2453610822122	0.0	4.223136088737888
